iter	Passed	Remaining
609	35851	22921
610	35898	22855
611	35950	22791
612	36023	22742
613	36080	22682
614	36133	22619
615	36200	22566
616	36262	22509
617	36348	22467
618	36430	22423
619	36511	22378
620	36572	22320
621	36670	22285
622	36751	22239
623	36812	22182
624	36898	22139
625	36956	22079
626	37018	22022
627	37078	21963
628	37173	21925
629	37226	21863
630	37292	21808
631	37376	21763
632	37432	21702
633	37477	21635
634	37524	21569
635	37586	21511
636	37651	21456
637	37710	21396
638	37779	21343
639	37869	21301
640	37928	21242
641	37995	21187
642	38066	21134
643	38110	21067
644	38168	21007
645	38226	20947
646	38285	20888
647	38348	20831
648	38415	20776
649	38476	20718
650	38535	20658
651	38602	20603
652	38698	20564
653	38766	20509
654	38834	20454
655	38903	20400
656	38989	20355
657	39055	20299
658	39110	20237
659	39167	20177
660	39223	20116
661	39297	20064
662	39370	20011
663	39436	19955
664	39506	19901
665	39573	19846
666	39622	19781
667	39683	19722
668	39748	19666
669	39798	19602
670	39866	19547
671	39924	19487
672	39980	19426
673	40035	19364
674	40110	19312
675	40176	19256
676	40236	19197
677	40297	19138
678	40350	19075
679	40409	19016
680	40470	18957
681	40537	18901
682	40593	18840
683	40659	18784
684	40713	18722
685	40794	18672
686	40868	18619
687	40931	18561
688	40984	18499
689	41046	18441
690	41123	18389
691	41186	18331
692	41265	18280
693	41358	18235
694	41443	18187
695	41530	18139
696	41602	18085
697	41689	18037
698	41776	17989
699	41838	17930
700	41898	17871
701	41964	17813
702	42042	17762
703	42138	17717
704	42211	17663
705	42274	17604
706	42367	17558
707	42446	17506
708	42532	17457
709	42641	17416
710	42706	17358
711	42780	17304
712	42834	17242
713	42894	17181
714	42980	17132
715	43046	17074
716	43120	17019
717	43192	16964
718	43264	16908
719	43331	16851
720	43397	16793
721	43470	16737
722	43545	16683
723	43603	16622
724	43685	16570
725	43778	16522
726	43845	16464
727	43908	16405
728	43981	16349
729	44028	16284
730	44084	16222
731	44152	16165
732	44219	16107
733	44280	16047
734	44337	15985
735	44411	15930
736	44479	15872
737	44548	15815
738	44615	15757
739	44700	15705
740	44757	15643
741	44823	15585
742	44895	15528
743	44961	15470
744	45022	15410
745	45098	15355
746	45158	15294
747	45216	15233
748	45327	15189
749	45406	15135
750	45488	15082
751	45562	15025
752	45633	14968
753	45743	14924
754	45815	14867
755	45954	14831
756	46018	14772
757	46080	14711
758	46163	14658
759	46238	14601
760	46300	14541
761	46365	14481
762	46432	14422
763	46506	14366
764	46551	14300
765	46625	14243
766	46678	14179
767	46745	14120
768	46879	14082
769	46956	14025
770	47052	13975
771	47142	13922
772	47211	13864
773	47281	13805
774	47331	13741
775	47394	13680
776	47453	13619
777	47544	13566
778	47615	13508
779	47667	13444
780	47739	13386
781	47799	13325
782	47836	13257
783	47903	13197
784	47970	13138
785	48035	13078
786	48091	13015
787	48136	12950
788	48185	12886
789	48242	12823
790	48296	12760
791	48352	12698
792	48418	12639
793	48473	12576
794	48537	12515
795	48579	12449
796	48626	12385
797	48690	12325
798	48736	12260
799	48792	12198
800	48869	12141
801	48941	12082
802	49002	12021
803	49051	11957
804	49095	11892
805	49141	11828
806	49191	11764
807	49238	11700
808	49303	11640
809	49383	11583
810	49465	11527
811	49532	11468
812	49626	11414
813	49713	11359
814	49762	11295
815	49839	11238
816	49916	11180
817	49974	11118
818	50035	11057
819	50086	10994
820	50135	10930
821	50186	10867
822	50252	10807
823	50305	10744
824	50356	10681
825	50417	10620
826	50463	10556
827	50510	10492
828	50565	10430
829	50618	10367
830	50668	10304
831	50732	10243
832	50826	10189
833	50880	10127
834	50942	10066
835	50983	10001
836	51020	9935
837	51061	9871
838	51113	9808
839	51171	9746
840	51220	9683
841	51283	9623
842	51340	9561
843	51392	9499
844	51450	9437
845	51508	9376
846	51558	9313
847	51635	9255
848	51684	9192
849	51736	9130
850	51801	9069
851	51847	9006
852	51890	8942
853	51941	8879
854	51989	8816
855	52046	8755
856	52120	8696
857	52169	8634
858	52233	8573
859	52286	8511
860	52347	8450
861	52400	8388
862	52462	8328
863	52517	8266
864	52543	8200
865	52568	8134
866	52604	8069
867	52686	8012
868	52785	7957
869	52838	7895
870	52885	7832
871	52926	7769
872	53011	7711
873	53082	7652
874	53113	7587
875	53156	7524
876	53216	7463
877	53295	7405
878	53365	7346
879	53448	7288
880	53516	7228
881	53572	7167
882	53635	7106
883	53687	7044
884	53735	6982
885	53793	6921
886	53854	6860
887	53920	6800
888	53965	6738
889	54014	6675
890	54078	6615
891	54162	6557
892	54216	6496
893	54272	6434
894	54320	6372
895	54377	6311
896	54460	6253
897	54512	6191
898	54553	6128
899	54594	6066
900	54642	6004
901	54687	5941
902	54745	5880
903	54812	5820
904	54870	5759
905	54918	5697
906	54971	5636
907	55033	5576
908	55090	5515
909	55140	5453
910	55192	5392
911	55244	5330
912	55309	5270
913	55366	5209
914	55398	5146
915	55445	5084
916	55491	5022
917	55530	4960
918	55592	4899
919	55657	4839
920	55726	4780
921	55789	4719
922	55829	4657
923	55888	4596
924	55928	4534
925	55992	4474
926	56052	4414
927	56110	4353
928	56160	4292
929	56210	4230
930	56270	4170
931	56316	4108
932	56358	4047
933	56453	3989
934	56489	3927
935	56550	3866
936	56597	3805
937	56647	3744
938	56676	3681
939	56714	3620
940	56769	3559
941	56821	3498
942	56865	3437
943	56901	3375
944	56932	3313
945	56968	3251
